ticker,name,market,locale,active,source_feed,type
I:TNX,Cboe Interest Rate 10 Year T Note,indices,us,TRUE,CboeGlobalIndicesCGI,Macro
I:VIX,Cboe Volatility Index,indices,us,TRUE,CboeGlobalIndicesMain,Macro
I:SIXC,Communication Services Select Sector Index,indices,us,TRUE,CboeGlobalIndicesMain,Industry
I:SIXY,Consumer Discretionary Select Sector Index,indices,us,TRUE,CboeGlobalIndicesMain,Industry
I:SIXR,Consumer Staples Select Sector Index,indices,us,TRUE,CboeGlobalIndicesMain,Industry
I:A1BSC,Dow Jones Americas Basic Materials Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:A1NCY,Dow Jones Americas Consumer Goods Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:A1CYC,Dow Jones Americas Consumer Services Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:A1FIN,Dow Jones Americas Financials Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:A1HCR,Dow Jones Americas Health Care Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:A1DOW,Dow Jones Americas Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:A1IDU,Dow Jones Americas Industrials Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:A1ENE,Dow Jones Americas Oil & Gas Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:A1TEC,Dow Jones Americas Technology Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:A1TLS,Dow Jones Americas Telecommunications Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:A1UTI,Dow Jones Americas Utilities Index,indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJTBAKT,Dow Jones Banks Titans 30 Index TR (USD),indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJTBAST,Dow Jones Basic Resources Titans 30 Index TR (USD),indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJTFVST,Dow Jones Financial Services Titans 30 Index TR (USD),indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJI,Dow Jones Industrial Average,indices,us,TRUE,CMEMarketDataPlatformDowJones,Broad
I:DJTINNT,Dow Jones Insurance Titans 30 Index TR (USD),indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJTENGT,Dow Jones Oil & Gas Titans 30 Index TR (USD),indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJTREAT,Dow Jones Real Estate Titans 30 Index TR (USD),indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
I:DJTCGST,Dow Jones Travel & Leisure Titans 30 Index TR (USD),indices,us,TRUE,CMEMarketDataPlatformDowJones,Industry
